customer_id,name,gender,age,category,phone
C00001,Aisha,Female,11,Children,9591945862
C00002,Suresh,Male,27,Men,9110213984
C00003,Meena,Female,20,Women,9652288555
C00004,Rohit,Male,69,Aged,9881652392
C00005,Riya,Female,32,Women,9307787409
C00006,Neha,Female,57,Aged,9537204867
C00007,Sneha,Female,33,Women,9913226874
C00008,Aisha,Female,61,Aged,9341122784
C00009,Sneha,Female,28,Women,9513716664
C00010,Riya,Female,19,Women,9756426536
C00011,Sneha,Female,73,Aged,9562687933
C00012,Anjali,Female,45,Women,9512797006
C00013,Kavita,Female,16,Women,9727434834
C00014,Simran,Female,55,Aged,9260635692
C00015,Aisha,Female,29,Women,9401836600
C00016,Rahul,Male,36,Men,9297514431
C00017,Rahul,Male,7,Children,9181066664
C00018,Amit,Male,59,Aged,9405200425
C00019,Suresh,Male,62,Aged,9950171869
C00020,Rahul,Male,21,Men,9554921902
C00021,Amit,Male,38,Men,9213972353
C00022,Amit,Male,43,Men,9882540083
C00023,Meena,Female,3,Children,9805991554
C00024,Rahul,Male,20,Men,9137832587
C00025,Arjun,Male,40,Men,9690446475
C00026,Meena,Female,50,Women,9972307221
C00027,Rahul,Male,19,Men,9290412853
C00028,Aisha,Female,65,Aged,9640414270
C00029,Aisha,Female,3,Children,9953035892
C00030,Pooja,Female,37,Women,9316486853
C00031,Neha,Female,38,Women,9465129655
C00032,Rahul,Male,15,Men,9992364795
C00033,Anjali,Female,24,Women,9960317271
C00034,Karan,Male,63,Aged,9128381160
C00035,Karan,Male,34,Men,9187819556
C00036,Anjali,Female,21,Women,9570872749
C00037,Meena,Female,17,Women,9115827603
C00038,Sneha,Female,45,Women,9504072145
C00039,Rahul,Male,40,Men,9617152311
C00040,Neha,Female,44,Women,9730631748
C00041,Meena,Female,4,Children,9936651568
C00042,Neha,Female,68,Aged,9366651970
C00043,Aisha,Female,60,Aged,9346387518
C00044,Ankit,Male,51,Men,9312199952
C00045,Ankit,Male,22,Men,9893424054
C00046,Priya,Female,64,Aged,9172275051
C00047,Rahul,Male,24,Men,9861376282
C00048,Anjali,Female,3,Children,9302121327
C00049,Meena,Female,31,Women,9235313062
C00050,Simran,Female,75,Aged,9185100131
C00051,Kavita,Female,60,Aged,9686479709
C00052,Rahul,Male,25,Men,9534528085
C00053,Pooja,Female,29,Women,9367179423
C00054,Sneha,Female,52,Women,9677657746
C00055,Sneha,Female,64,Aged,9390935714
C00056,Vikas,Male,16,Men,9949411324
C00057,Anjali,Female,23,Women,9876379014
C00058,Imran,Male,24,Men,9692322373
C00059,Imran,Male,38,Men,9605045684
C00060,Imran,Male,32,Men,9416939922
C00061,Anjali,Female,64,Aged,9534839443
C00062,Priya,Female,75,Aged,9503982446
C00063,Anjali,Female,19,Women,9380386906
C00064,Imran,Male,42,Men,9231366530
C00065,Vikas,Male,75,Aged,9532338984
C00066,Nikhil,Male,24,Men,9859711219
C00067,Aisha,Female,4,Children,9958917039
C00068,Rohit,Male,28,Men,9929877544
C00069,Priya,Female,27,Women,9868637857
C00070,Ankit,Male,57,Aged,9791101928
C00071,Kavita,Female,52,Women,9270651836
C00072,Ankit,Male,19,Men,9860159373
C00073,Priya,Female,62,Aged,9918351444
C00074,Riya,Female,23,Women,9421774475
C00075,Rahul,Male,75,Aged,9534153494
C00076,Nikhil,Male,67,Aged,9573164680
C00077,Suresh,Male,72,Aged,9701377590
C00078,Karan,Male,53,Men,9192534310
C00079,Imran,Male,74,Aged,9444668629
C00080,Priya,Female,25,Women,9522060254
C00081,Nikhil,Male,73,Aged,9758819737
C00082,Neha,Female,73,Aged,9224022631
C00083,Amit,Male,64,Aged,9681334458
C00084,Sneha,Female,18,Women,9532998836
C00085,Pooja,Female,34,Women,9888547733
C00086,Vikas,Male,68,Aged,9720329513
C00087,Pooja,Female,31,Women,9725159960
C00088,Suresh,Male,66,Aged,9285752169
C00089,Aisha,Female,51,Women,9477362315
C00090,Simran,Female,40,Women,9577226952
C00091,Imran,Male,38,Men,9274570191
C00092,Sneha,Female,19,Women,9845930845
C00093,Priya,Female,41,Women,9750696161
C00094,Nikhil,Male,53,Men,9888274695
C00095,Ankit,Male,74,Aged,9787970038
C00096,Kavita,Female,72,Aged,9894745361
C00097,Anjali,Female,12,Children,9378374566
C00098,Meena,Female,15,Women,9517328662
C00099,Rahul,Male,48,Men,9840256153
C00100,Karan,Male,37,Men,9654033443
C00101,Suresh,Male,65,Aged,9373444788
C00102,Amit,Male,62,Aged,9809631584
C00103,Arjun,Male,21,Men,9229327254
C00104,Pooja,Female,57,Aged,9426729849
C00105,Riya,Female,53,Women,9745442339
C00106,Meena,Female,46,Women,9936424924
C00107,Pooja,Female,21,Women,9557089222
C00108,Vikas,Male,29,Men,9985317721
C00109,Suresh,Male,48,Men,9112231981
C00110,Aisha,Female,46,Women,9422795970
C00111,Imran,Male,16,Men,9448719981
C00112,Priya,Female,13,Women,9339854356
C00113,Imran,Male,19,Men,9413853014
C00114,Neha,Female,62,Aged,9849439342
C00115,Karan,Male,63,Aged,9674441069
C00116,Kavita,Female,22,Women,9282095479
C00117,Anjali,Female,52,Women,9215179299
C00118,Kavita,Female,43,Women,9411557086
C00119,Rohit,Male,17,Men,9316664679
C00120,Simran,Female,3,Children,9385254016
C00121,Rahul,Male,20,Men,9792284123
C00122,Nikhil,Male,68,Aged,9671466082
C00123,Vikas,Male,30,Men,9826511771
C00124,Rohit,Male,66,Aged,9203876155
C00125,Pooja,Female,63,Aged,9798351623
C00126,Rohit,Male,64,Aged,9305437862
C00127,Aisha,Female,18,Women,9619721304
C00128,Aisha,Female,75,Aged,9457764409
C00129,Amit,Male,61,Aged,9387553291
C00130,Kavita,Female,39,Women,9337370132
C00131,Simran,Female,7,Children,9893061105
C00132,Karan,Male,15,Men,9775790905
C00133,Aisha,Female,49,Women,9744922876
C00134,Nikhil,Male,65,Aged,9411902124
C00135,Anjali,Female,22,Women,9971259698
C00136,Rohit,Male,34,Men,9454707091
C00137,Rohit,Male,21,Men,9518053992
C00138,Imran,Male,10,Children,9813627121
C00139,Aisha,Female,17,Women,9778098792
C00140,Suresh,Male,33,Men,9386776684
C00141,Rahul,Male,9,Children,9779923597
C00142,Priya,Female,29,Women,9640655382
C00143,Simran,Female,73,Aged,9183459450
C00144,Priya,Female,5,Children,9138007780
C00145,Ankit,Male,61,Aged,9195574162
C00146,Ankit,Male,53,Men,9121217368
C00147,Rahul,Male,68,Aged,9304602092
C00148,Suresh,Male,41,Men,9186578755
C00149,Meena,Female,37,Women,9781119051
C00150,Anjali,Female,21,Women,9856080270
C00151,Aisha,Female,37,Women,9823061640
C00152,Amit,Male,71,Aged,9162296698
C00153,Rahul,Male,26,Men,9214985337
C00154,Amit,Male,31,Men,9900998859
C00155,Arjun,Male,30,Men,9691910472
C00156,Ankit,Male,25,Men,9391969109
C00157,Aisha,Female,23,Women,9279774212
C00158,Simran,Female,46,Women,9824130296
C00159,Imran,Male,6,Children,9756126937
C00160,Sneha,Female,44,Women,9508617507
C00161,Amit,Male,66,Aged,9279609610
C00162,Karan,Male,5,Children,9538615241
C00163,Nikhil,Male,58,Aged,9253783300
C00164,Kavita,Female,49,Women,9297943701
C00165,Rohit,Male,75,Aged,9762508766
C00166,Aisha,Female,75,Aged,9907337377
C00167,Neha,Female,7,Children,9202606879
C00168,Pooja,Female,52,Women,9271115236
C00169,Ankit,Male,22,Men,9635279654
C00170,Sneha,Female,38,Women,9275824439
C00171,Imran,Male,8,Children,9596896740
C00172,Imran,Male,7,Children,9822586013
C00173,Suresh,Male,33,Men,9728370565
C00174,Karan,Male,51,Men,9520636054
C00175,Pooja,Female,17,Women,9531559889
C00176,Anjali,Female,59,Aged,9417521804
C00177,Kavita,Female,4,Children,9624755008
C00178,Pooja,Female,52,Women,9125959350
C00179,Karan,Male,40,Men,9732684253
C00180,Karan,Male,75,Aged,9637645216
C00181,Neha,Female,59,Aged,9178773671
C00182,Simran,Female,66,Aged,9130179745
C00183,Suresh,Male,30,Men,9931995153
C00184,Neha,Female,70,Aged,9983598517
C00185,Nikhil,Male,23,Men,9177299950
C00186,Rohit,Male,11,Children,9848727015
C00187,Sneha,Female,13,Women,9200843973
C00188,Kavita,Female,6,Children,9913507354
C00189,Nikhil,Male,20,Men,9307264934
C00190,Nikhil,Male,21,Men,9154880492
C00191,Rohit,Male,20,Men,9540177700
C00192,Ankit,Male,53,Men,9290216445
C00193,Rahul,Male,47,Men,9404882274
C00194,Ankit,Male,71,Aged,9203227917
C00195,Priya,Female,31,Women,9565136885
C00196,Aisha,Female,61,Aged,9730147440
C00197,Sneha,Female,69,Aged,9915308605
C00198,Rahul,Male,27,Men,9766781254
C00199,Kavita,Female,48,Women,9945317347
C00200,Vikas,Male,27,Men,9849037801
C00201,Imran,Male,46,Men,9875169995
C00202,Vikas,Male,15,Men,9210246979
C00203,Vikas,Male,9,Children,9300570533
C00204,Sneha,Female,15,Women,9799148165
C00205,Arjun,Male,46,Men,9485943425
C00206,Amit,Male,41,Men,9201410183
C00207,Ankit,Male,50,Men,9347609634
C00208,Riya,Female,62,Aged,9370693629
C00209,Rahul,Male,52,Men,9930515773
C00210,Meena,Female,29,Women,9654879792
C00211,Neha,Female,12,Children,9972335883
C00212,Arjun,Male,69,Aged,9458130671
C00213,Priya,Female,63,Aged,9423758545
C00214,Karan,Male,74,Aged,9525077168
C00215,Vikas,Male,40,Men,9590569242
C00216,Pooja,Female,49,Women,9807727824
C00217,Rahul,Male,49,Men,9781931923
C00218,Karan,Male,64,Aged,9192505430
C00219,Sneha,Female,18,Women,9955522443
C00220,Pooja,Female,60,Aged,9465889603
C00221,Sneha,Female,7,Children,9373688798
C00222,Kavita,Female,44,Women,9609248494
C00223,Neha,Female,47,Women,9902018383
C00224,Amit,Male,58,Aged,9938302074
C00225,Pooja,Female,38,Women,9555849610
C00226,Meena,Female,64,Aged,9194125889
C00227,Meena,Female,24,Women,9175836052
C00228,Kavita,Female,59,Aged,9506657688
C00229,Simran,Female,8,Children,9784544807
C00230,Nikhil,Male,66,Aged,9452060147
C00231,Nikhil,Male,66,Aged,9876567947
C00232,Riya,Female,18,Women,9717233710
C00233,Meena,Female,32,Women,9640344200
C00234,Aisha,Female,19,Women,9394618701
C00235,Imran,Male,28,Men,9352107442
C00236,Karan,Male,37,Men,9926583825
C00237,Nikhil,Male,36,Men,9248507805
C00238,Vikas,Male,64,Aged,9242740536
C00239,Amit,Male,14,Men,9805180876
C00240,Simran,Female,43,Women,9587290784
C00241,Arjun,Male,67,Aged,9138804704
C00242,Pooja,Female,66,Aged,9592408021
C00243,Amit,Male,12,Children,9804840662
C00244,Sneha,Female,46,Women,9583989783
C00245,Imran,Male,31,Men,9260257913
C00246,Priya,Female,69,Aged,9630807928
C00247,Amit,Male,64,Aged,9628461812
C00248,Karan,Male,64,Aged,9720394497
C00249,Karan,Male,51,Men,9553010001
C00250,Rohit,Male,18,Men,9323990201
C00251,Neha,Female,6,Children,9138570859
C00252,Suresh,Male,69,Aged,9984362580
C00253,Nikhil,Male,42,Men,9861119743
C00254,Rahul,Male,28,Men,9575330517
C00255,Suresh,Male,11,Children,9200885193
C00256,Rohit,Male,47,Men,9411048634
C00257,Arjun,Male,29,Men,9330354658
C00258,Rahul,Male,27,Men,9352664837
C00259,Suresh,Male,22,Men,9186169532
C00260,Aisha,Female,36,Women,9865013096
C00261,Karan,Male,53,Men,9122686760
C00262,Imran,Male,14,Men,9413978109
C00263,Anjali,Female,42,Women,9296270712
C00264,Rahul,Male,39,Men,9720638994
C00265,Meena,Female,33,Women,9137912952
C00266,Simran,Female,39,Women,9435302998
C00267,Aisha,Female,35,Women,9557067838
C00268,Imran,Male,38,Men,9364234584
C00269,Simran,Female,32,Women,9368702478
C00270,Meena,Female,61,Aged,9613270680
C00271,Arjun,Male,62,Aged,9806001726
C00272,Ankit,Male,14,Men,9592499303
C00273,Vikas,Male,4,Children,9422953865
C00274,Arjun,Male,59,Aged,9479117645
C00275,Sneha,Female,51,Women,9518542389
C00276,Simran,Female,34,Women,9285404046
C00277,Rohit,Male,35,Men,9828726404
C00278,Rohit,Male,46,Men,9864829432
C00279,Priya,Female,14,Women,9455976177
C00280,Amit,Male,57,Aged,9583521119
C00281,Sneha,Female,53,Women,9811876259
C00282,Priya,Female,68,Aged,9444597540
C00283,Imran,Male,71,Aged,9586365718
C00284,Vikas,Male,13,Men,9320738750
C00285,Amit,Male,56,Aged,9453420220
C00286,Ankit,Male,14,Men,9342173560
C00287,Arjun,Male,22,Men,9352586504
C00288,Vikas,Male,71,Aged,9792569033
C00289,Vikas,Male,42,Men,9795880885
C00290,Arjun,Male,65,Aged,9118267172
C00291,Simran,Female,70,Aged,9885440500
C00292,Anjali,Female,55,Aged,9831726343
C00293,Rohit,Male,4,Children,9120642155
C00294,Nikhil,Male,32,Men,9860608238
C00295,Riya,Female,11,Children,9768921186
C00296,Ankit,Male,44,Men,9745407525
C00297,Imran,Male,37,Men,9709022946
C00298,Nikhil,Male,30,Men,9284096753
C00299,Anjali,Female,19,Women,9897959938
C00300,Kavita,Female,32,Women,9537419442
C00301,Suresh,Male,4,Children,9523540522
C00302,Aisha,Female,53,Women,9696415616
C00303,Sneha,Female,33,Women,9651169223
C00304,Vikas,Male,50,Men,9348259859
C00305,Nikhil,Male,60,Aged,9155968133
C00306,Anjali,Female,22,Women,9993163509
C00307,Ankit,Male,25,Men,9958741177
C00308,Arjun,Male,47,Men,9474380430
C00309,Aisha,Female,16,Women,9160783184
C00310,Aisha,Female,39,Women,9782296708
C00311,Anjali,Female,17,Women,9714254238
C00312,Amit,Male,13,Men,9401385269
C00313,Vikas,Male,38,Men,9189967258
C00314,Pooja,Female,64,Aged,9285177055
C00315,Rahul,Male,38,Men,9422434723
C00316,Ankit,Male,68,Aged,9687551182
C00317,Vikas,Male,3,Children,9602421069
C00318,Sneha,Female,52,Women,9460187595
C00319,Priya,Female,11,Children,9985246827
C00320,Vikas,Male,13,Men,9383657925
C00321,Amit,Male,4,Children,9811931255
C00322,Rahul,Male,48,Men,9878538251
C00323,Rahul,Male,66,Aged,9102670748
C00324,Rohit,Male,55,Aged,9921446924
C00325,Suresh,Male,34,Men,9941052598
C00326,Meena,Female,75,Aged,9817208305
C00327,Karan,Male,47,Men,9574154058
C00328,Anjali,Female,19,Women,9258425992
C00329,Simran,Female,37,Women,9125735232
C00330,Aisha,Female,37,Women,9970045704
C00331,Suresh,Male,27,Men,9220459761
C00332,Kavita,Female,65,Aged,9604894268
C00333,Suresh,Male,73,Aged,9270963442
C00334,Aisha,Female,51,Women,9897628123
C00335,Sneha,Female,7,Children,9234601696
C00336,Suresh,Male,69,Aged,9293554749
C00337,Sneha,Female,39,Women,9691289000
C00338,Rohit,Male,53,Men,9332936340
C00339,Suresh,Male,49,Men,9405344113
C00340,Suresh,Male,13,Men,9262988205
C00341,Kavita,Female,34,Women,9369141963
C00342,Meena,Female,68,Aged,9353309430
C00343,Meena,Female,54,Women,9631720563
C00344,Priya,Female,59,Aged,9629997038
C00345,Suresh,Male,45,Men,9280948733
C00346,Suresh,Male,43,Men,9897180797
C00347,Ankit,Male,21,Men,9503708815
C00348,Aisha,Female,7,Children,9436835802
C00349,Rohit,Male,46,Men,9518304438
C00350,Priya,Female,21,Women,9493737959
C00351,Aisha,Female,41,Women,9727604350
C00352,Rohit,Male,48,Men,9844870674
C00353,Karan,Male,16,Men,9967033207
C00354,Meena,Female,27,Women,9993453196
C00355,Rohit,Male,38,Men,9369453367
C00356,Ankit,Male,50,Men,9261696296
C00357,Nikhil,Male,5,Children,9181290458
C00358,Simran,Female,51,Women,9306175353
C00359,Kavita,Female,57,Aged,9516877956
C00360,Simran,Female,21,Women,9360969832
C00361,Aisha,Female,38,Women,9924496171
C00362,Anjali,Female,73,Aged,9827690835
C00363,Priya,Female,35,Women,9612154281
C00364,Suresh,Male,39,Men,9548648527
C00365,Nikhil,Male,61,Aged,9461826431
C00366,Ankit,Male,36,Men,9400833549
C00367,Rahul,Male,55,Aged,9826743101
C00368,Rohit,Male,7,Children,9311122620
C00369,Vikas,Male,38,Men,9739415503
C00370,Pooja,Female,71,Aged,9146350296
C00371,Kavita,Female,54,Women,9422870498
C00372,Priya,Female,31,Women,9594269096
C00373,Pooja,Female,4,Children,9946671571
C00374,Anjali,Female,32,Women,9410195480
C00375,Imran,Male,59,Aged,9496583582
C00376,Kavita,Female,5,Children,9862276901
C00377,Riya,Female,31,Women,9950903632
C00378,Aisha,Female,38,Women,9145667032
C00379,Kavita,Female,15,Women,9282845781
C00380,Priya,Female,46,Women,9618159471
C00381,Nikhil,Male,52,Men,9122992331
C00382,Riya,Female,69,Aged,9221552020
C00383,Nikhil,Male,52,Men,9797924139
C00384,Amit,Male,36,Men,9618259063
C00385,Meena,Female,6,Children,9838957971
C00386,Neha,Female,54,Women,9269358281
C00387,Ankit,Male,44,Men,9580962395
C00388,Ankit,Male,7,Children,9508337222
C00389,Neha,Female,8,Children,9940741005
C00390,Priya,Female,47,Women,9890504110
C00391,Ankit,Male,73,Aged,9549950776
C00392,Arjun,Male,23,Men,9706285414
C00393,Pooja,Female,26,Women,9167546417
C00394,Suresh,Male,53,Men,9182758647
C00395,Simran,Female,42,Women,9367835908
C00396,Rahul,Male,49,Men,9370357749
C00397,Neha,Female,57,Aged,9243826130
C00398,Aisha,Female,23,Women,9922151891
C00399,Aisha,Female,27,Women,9155627408
C00400,Anjali,Female,6,Children,9982575069
C00401,Amit,Male,66,Aged,9680524569
C00402,Kavita,Female,66,Aged,9475559663
C00403,Kavita,Female,30,Women,9337071306
C00404,Kavita,Female,58,Aged,9329389856
C00405,Karan,Male,54,Men,9651995938
C00406,Simran,Female,69,Aged,9758182445
C00407,Ankit,Male,36,Men,9976945088
C00408,Meena,Female,9,Children,9685142756
C00409,Kavita,Female,37,Women,9915198220
C00410,Priya,Female,38,Women,9789843715
C00411,Ankit,Male,14,Men,9391979888
C00412,Simran,Female,63,Aged,9521734012
C00413,Nikhil,Male,4,Children,9680840922
C00414,Aisha,Female,39,Women,9263946095
C00415,Meena,Female,64,Aged,9297364129
C00416,Aisha,Female,11,Children,9461727410
C00417,Sneha,Female,47,Women,9695337642
C00418,Nikhil,Male,70,Aged,9632650839
C00419,Suresh,Male,47,Men,9514959421
C00420,Neha,Female,61,Aged,9982995887
C00421,Sneha,Female,19,Women,9833584518
C00422,Kavita,Female,9,Children,9157696981
C00423,Simran,Female,32,Women,9133124212
C00424,Ankit,Male,26,Men,9476567799
C00425,Aisha,Female,25,Women,9909774712
C00426,Suresh,Male,64,Aged,9110097505
C00427,Karan,Male,70,Aged,9294086033
C00428,Sneha,Female,23,Women,9246652157
C00429,Rahul,Male,51,Men,9224198099
C00430,Nikhil,Male,8,Children,9700098702
C00431,Anjali,Female,29,Women,9810247649
C00432,Imran,Male,13,Men,9928916235
C00433,Riya,Female,71,Aged,9506215803
C00434,Meena,Female,64,Aged,9997974536
C00435,Priya,Female,16,Women,9544318288
C00436,Meena,Female,13,Women,9558478764
C00437,Neha,Female,7,Children,9212285546
C00438,Simran,Female,43,Women,9786170933
C00439,Imran,Male,53,Men,9979621196
C00440,Kavita,Female,43,Women,9155087966
C00441,Ankit,Male,70,Aged,9320373957
C00442,Amit,Male,52,Men,9638938767
C00443,Suresh,Male,38,Men,9280822332
C00444,Suresh,Male,12,Children,9769662429
C00445,Nikhil,Male,37,Men,9621967950
C00446,Anjali,Female,32,Women,9176918103
C00447,Meena,Female,66,Aged,9984603502
C00448,Aisha,Female,68,Aged,9681205605
C00449,Anjali,Female,14,Women,9321220491
C00450,Pooja,Female,53,Women,9568771713
C00451,Ankit,Male,15,Men,9505780376
C00452,Imran,Male,68,Aged,9410647366
C00453,Rahul,Male,16,Men,9731645238
C00454,Ankit,Male,48,Men,9147978819
C00455,Meena,Female,12,Children,9741663619
C00456,Karan,Male,49,Men,9476045980
C00457,Neha,Female,39,Women,9744824892
C00458,Vikas,Male,18,Men,9465468789
C00459,Meena,Female,70,Aged,9657597354
C00460,Ankit,Male,41,Men,9414062839
C00461,Kavita,Female,28,Women,9747977025
C00462,Pooja,Female,46,Women,9175173342
C00463,Rahul,Male,16,Men,9240489462
C00464,Neha,Female,39,Women,9688889388
C00465,Amit,Male,49,Men,9955024588
C00466,Neha,Female,44,Women,9573451034
C00467,Sneha,Female,46,Women,9906119428
C00468,Ankit,Male,60,Aged,9179021729
C00469,Rohit,Male,38,Men,9552033061
